X,Y,ELEVATION
361443.34,2421163.911,66.555
361443.34,2421158.911,68.578
361443.34,2421153.911,70.943
361443.34,2421148.911,73.516
361443.34,2421143.911,75.109
361443.34,2421138.911,75.924
361443.34,2421133.911,75.954
361443.34,2421128.911,77.084
361443.34,2421123.911,78.042
361443.34,2421118.911,78.708
361443.34,2421113.911,79.978
361443.34,2421108.911,81.478
361443.34,2421103.911,83.569
361443.34,2421098.911,85.67
361443.34,2421093.911,87.175
361443.34,2421088.911,87.174
361443.34,2421083.911,87.239
361443.34,2421078.911,89.674
361443.34,2421073.911,91.099
361443.34,2421068.911,92.128
361443.34,2421063.911,93.224
361443.34,2421058.911,93.948
361443.34,2421053.911,94.958
361443.34,2421048.911,94.877
361443.34,2421043.911,94.283
361443.34,2421038.911,93.698
361443.34,2421033.911,91.932
361443.34,2421028.911,89.812
361443.34,2421023.911,87.836
361443.34,2421018.911,85.579
361443.34,2421013.911,83.225
361443.34,2421008.911,80.456
361443.34,2421003.911,77.731
361443.34,2420998.911,74.399
361443.34,2420993.911,71.782
361443.34,2420988.911,68.663
361443.34,2420983.911,64.522
361443.34,2420978.911,60.78
361443.34,2420973.911,54.535
361443.34,2420968.911,54.184
361443.34,2420963.911,53.343
361443.34,2420958.911,49.522
361443.34,2420953.911,46.073
361443.34,2420948.911,44.495
361443.34,2420943.911,42.105
361443.34,2420938.911,41.34
361443.34,2420933.911,41.315
361443.34,2420928.911,41.151
361443.34,2420923.911,34.679
361443.34,2420918.911,35.128
361448.34,2421293.911,41.199
361448.34,2421288.911,41.302
361448.34,2421283.911,41.495
361448.34,2421278.911,41.906
361448.34,2421273.911,43.099
361448.34,2421268.911,43.202
361448.34,2421263.911,44.007
361448.34,2421258.911,46.083
361448.34,2421253.911,48.177
361448.34,2421248.911,51.04
361448.34,2421243.911,53.211
361448.34,2421238.911,52.603
361448.34,2421233.911,52.555
361448.34,2421228.911,52.607
361448.34,2421223.911,52.892
361448.34,2421218.911,52.467
361448.34,2421213.911,53.117
361448.34,2421208.911,53.342
361448.34,2421203.911,51.972
361448.34,2421198.911,52.746
361448.34,2421193.911,52.514
361448.34,2421188.911,53.549
361448.34,2421183.911,53.295
361448.34,2421178.911,54.246
361448.34,2421173.911,56.959
361448.34,2421168.911,62.062
361448.34,2421163.911,67.763
361448.34,2421158.911,70.171
361448.34,2421153.911,72.743
361448.34,2421148.911,74.182
361448.34,2421143.911,75.469
361448.34,2421138.911,76.014
361448.34,2421133.911,76.644
361448.34,2421128.911,77.234
361448.34,2421123.911,77.956
361448.34,2421118.911,79.083
361448.34,2421113.911,80.57
361448.34,2421108.911,81.843
361448.34,2421103.911,84.124
361448.34,2421098.911,85.938
361448.34,2421093.911,87.277
361448.34,2421088.911,87.419
361448.34,2421083.911,87.563
361448.34,2421078.911,89.764
361448.34,2421073.911,90.592
361448.34,2421068.911,91.325
361448.34,2421063.911,92.707
361448.34,2421058.911,93.07
361448.34,2421053.911,93.853
361448.34,2421048.911,94.272
361448.34,2421043.911,94.089
361448.34,2421038.911,93.544
361448.34,2421033.911,91.766
361448.34,2421028.911,89.77
361448.34,2421023.911,87.602
361448.34,2421018.911,85.031
361448.34,2421013.911,82.329
361448.34,2421008.911,79.934
361448.34,2421003.911,76.666
361448.34,2420998.911,73.773
361448.34,2420993.911,70.109
361448.34,2420988.911,66.876
361448.34,2420983.911,62.796
361448.34,2420978.911,59.95
361448.34,2420973.911,54.31
361448.34,2420968.911,54.118
361448.34,2420963.911,52.921
361448.34,2420958.911,48.96
361448.34,2420953.911,45.055
361448.34,2420948.911,44.419
361448.34,2420943.911,42.055
361448.34,2420938.911,41.048
361448.34,2420933.911,40.842
361448.34,2420928.911,40.988
361448.34,2420923.911,34.534
361453.34,2421298.911,41.77
361453.34,2421293.911,41.132
361453.34,2421288.911,41.323
361453.34,2421283.911,41.583
361453.34,2421278.911,41.921
361453.34,2421273.911,42.848
